,density,relative_humidity,Run,BurnedOut,height,width
255,0.03,56,255,0.011538461538461539,100,100
256,0.03,57,256,0.006309148264984227,100,100
257,0.03,58,257,0.006349206349206349,100,100
258,0.03,59,258,0.016129032258064516,100,100
259,0.03,60,259,0.0,100,100
260,0.03,61,260,0.009966777408637873,100,100
261,0.03,62,261,0.013468013468013467,100,100
262,0.03,63,262,0.006269592476489028,100,100
263,0.03,64,263,0.00980392156862745,100,100
264,0.03,65,264,0.015444015444015444,100,100
265,0.03,66,265,0.009584664536741214,100,100
266,0.03,67,266,0.003436426116838488,100,100
267,0.03,68,267,0.012779552715654952,100,100
268,0.03,69,268,0.009933774834437087,100,100
269,0.03,70,269,0.003048780487804878,100,100
270,0.03,71,270,0.012738853503184714,100,100
271,0.03,72,271,0.006711409395973154,100,100
272,0.03,73,272,0.015625,100,100
273,0.03,74,273,0.006557377049180328,100,100
274,0.03,75,274,0.0064516129032258064,100,100
275,0.03,76,275,0.003676470588235294,100,100
276,0.03,77,276,0.0033444816053511705,100,100
277,0.03,78,277,0.0061162079510703364,100,100
278,0.03,79,278,0.0033333333333333335,100,100
279,0.03,80,279,0.006369426751592357,100,100
280,0.03,81,280,0.015772870662460567,100,100
281,0.03,82,281,0.013888888888888888,100,100
282,0.03,83,282,0.006269592476489028,100,100
283,0.03,84,283,0.006644518272425249,100,100
284,0.03,85,284,0.0070921985815602835,100,100
285,0.03,86,285,0.026936026936026935,100,100
286,0.03,87,286,0.013793103448275862,100,100
287,0.03,88,287,0.014184397163120567,100,100
288,0.03,89,288,0.017482517482517484,100,100
289,0.03,90,289,0.013745704467353952,100,100
290,0.03,91,290,0.009615384615384616,100,100
291,0.03,92,291,0.0034129692832764505,100,100
292,0.03,93,292,0.00949367088607595,100,100
293,0.03,94,293,0.010273972602739725,100,100
294,0.03,95,294,0.016181229773462782,100,100
295,0.03,96,295,0.013651877133105802,100,100
296,0.03,97,296,0.00684931506849315,100,100
297,0.03,98,297,0.01644736842105263,100,100
298,0.03,99,298,0.010830324909747292,100,100
299,0.03,100,299,0.006153846153846154,100,100
300,0.04,1,300,0.01639344262295082,100,100
301,0.04,2,301,0.012135922330097087,100,100
302,0.04,3,302,0.019656019656019656,100,100
303,0.04,4,303,0.01038961038961039,100,100
304,0.04,5,304,0.009732360097323601,100,100
305,0.04,6,305,0.010471204188481676,100,100
306,0.04,7,306,0.01272264631043257,100,100
307,0.04,8,307,0.007936507936507936,100,100
308,0.04,9,308,0.007594936708860759,100,100
309,0.04,10,309,0.011961722488038277,100,100
310,0.04,11,310,0.015909090909090907,100,100
311,0.04,12,311,0.0117096018735363,100,100
312,0.04,13,312,0.007281553398058253,100,100
313,0.04,14,313,0.015345268542199489,100,100
314,0.04,15,314,0.009925558312655087,100,100
315,0.04,16,315,0.013404825737265416,100,100
316,0.04,17,316,0.011363636363636364,100,100
317,0.04,18,317,0.013192612137203167,100,100
318,0.04,19,318,0.019704433497536946,100,100
319,0.04,20,319,0.023872679045092837,100,100
320,0.04,21,320,0.0024390243902439024,100,100
321,0.04,22,321,0.017456359102244388,100,100
322,0.04,23,322,0.007228915662650603,100,100
323,0.04,24,323,0.002702702702702703,100,100
324,0.04,25,324,0.010362694300518135,100,100
325,0.04,26,325,0.0079155672823219,100,100
326,0.04,27,326,0.012315270935960592,100,100
327,0.04,28,327,0.014527845036319613,100,100
328,0.04,29,328,0.007352941176470588,100,100
329,0.04,30,329,0.007246376811594203,100,100
330,0.04,31,330,0.011737089201877934,100,100
331,0.04,32,331,0.002583979328165375,100,100
332,0.04,33,332,0.004962779156327543,100,100
333,0.04,34,333,0.002506265664160401,100,100
334,0.04,35,334,0.007772020725388601,100,100
335,0.04,36,335,0.005376344086021506,100,100
336,0.04,37,336,0.008,100,100
337,0.04,38,337,0.005494505494505495,100,100
338,0.04,39,338,0.0024330900243309003,100,100
339,0.04,40,339,0.009569377990430622,100,100
340,0.04,41,340,0.005025125628140704,100,100
341,0.04,42,341,0.016786570743405275,100,100
342,0.04,43,342,0.010050251256281407,100,100
343,0.04,44,343,0.00966183574879227,100,100
344,0.04,45,344,0.012165450121654502,100,100
345,0.04,46,345,0.010101010101010102,100,100
346,0.04,47,346,0.0106951871657754,100,100
347,0.04,48,347,0.00267379679144385,100,100
348,0.04,49,348,0.013262599469496022,100,100
349,0.04,50,349,0.010050251256281407,100,100
350,0.04,51,350,0.009685230024213076,100,100
351,0.04,52,351,0.00966183574879227,100,100
352,0.04,53,352,0.01643835616438356,100,100
353,0.04,54,353,0.0076726342710997444,100,100
354,0.04,55,354,0.011267605633802818,100,100
355,0.04,56,355,0.023622047244094488,100,100
356,0.04,57,356,0.007653061224489796,100,100
357,0.04,58,357,0.00510204081632653,100,100
358,0.04,59,358,0.004555808656036446,100,100
359,0.04,60,359,0.01699029126213592,100,100
360,0.04,61,360,0.012106537530266344,100,100
361,0.04,62,361,0.007317073170731708,100,100
362,0.04,63,362,0.006944444444444444,100,100
363,0.04,64,363,0.0026455026455026454,100,100
364,0.04,65,364,0.00963855421686747,100,100
365,0.04,66,365,0.005089058524173028,100,100
366,0.04,67,366,0.020100502512562814,100,100
367,0.04,68,367,0.002577319587628866,100,100
368,0.04,69,368,0.010582010582010581,100,100
369,0.04,70,369,0.02242152466367713,100,100
370,0.04,71,370,0.0196078431372549,100,100
371,0.04,72,371,0.002583979328165375,100,100
372,0.04,73,372,0.0,100,100
373,0.04,74,373,0.017766497461928935,100,100
374,0.04,75,374,0.005012531328320802,100,100
375,0.04,76,375,0.006896551724137931,100,100
376,0.04,77,376,0.005235602094240838,100,100
377,0.04,78,377,0.007894736842105263,100,100
378,0.04,79,378,0.0049261083743842365,100,100
379,0.04,80,379,0.014218009478672985,100,100
380,0.04,81,380,0.014598540145985401,100,100
381,0.04,82,381,0.0069124423963133645,100,100
382,0.04,83,382,0.009950248756218905,100,100
383,0.04,84,383,0.004819277108433735,100,100
384,0.04,85,384,0.011764705882352941,100,100
385,0.04,86,385,0.01201923076923077,100,100
386,0.04,87,386,0.009195402298850575,100,100
387,0.04,88,387,0.027548209366391185,100,100
388,0.04,89,388,0.010416666666666666,100,100
389,0.04,90,389,0.014563106796116505,100,100
390,0.04,91,390,0.015503875968992248,100,100
391,0.04,92,391,0.002544529262086514,100,100
392,0.04,93,392,0.005063291139240506,100,100
393,0.04,94,393,0.0026246719160104987,100,100
394,0.04,95,394,0.005025125628140704,100,100
395,0.04,96,395,0.0069767441860465115,100,100
396,0.04,97,396,0.011933174224343675,100,100
397,0.04,98,397,0.009685230024213076,100,100
398,0.04,99,398,0.006928406466512702,100,100
399,0.04,100,399,0.005235602094240838,100,100
400,0.05,1,400,0.012295081967213115,100,100
401,0.05,2,401,0.013861386138613862,100,100
402,0.05,3,402,0.006493506493506494,100,100
403,0.05,4,403,0.008097165991902834,100,100
404,0.05,5,404,0.012578616352201259,100,100
405,0.05,6,405,0.013257575757575758,100,100
406,0.05,7,406,0.011695906432748537,100,100
407,0.05,8,407,0.003976143141153081,100,100
408,0.05,9,408,0.014545454545454545,100,100
409,0.05,10,409,0.01417004048582996,100,100
410,0.05,11,410,0.014957264957264958,100,100
411,0.05,12,411,0.009784735812133072,100,100
412,0.05,13,412,0.008048289738430584,100,100
413,0.05,14,413,0.006012024048096192,100,100
414,0.05,15,414,0.003703703703703704,100,100
415,0.05,16,415,0.005660377358490566,100,100
416,0.05,17,416,0.012320328542094456,100,100
417,0.05,18,417,0.0081799591002045,100,100
418,0.05,19,418,0.003968253968253968,100,100
419,0.05,20,419,0.011811023622047244,100,100
420,0.05,21,420,0.011342155009451797,100,100
421,0.05,22,421,0.021321961620469083,100,100
422,0.05,23,422,0.007936507936507936,100,100
423,0.05,24,423,0.014112903225806451,100,100
424,0.05,25,424,0.013133208255159476,100,100
425,0.05,26,425,0.007782101167315175,100,100
426,0.05,27,426,0.011976047904191617,100,100
427,0.05,28,427,0.018556701030927835,100,100
428,0.05,29,428,0.013358778625954198,100,100
429,0.05,30,429,0.00404040404040404,100,100
430,0.05,31,430,0.021141649048625793,100,100
431,0.05,32,431,0.025896414342629483,100,100
432,0.05,33,432,0.006772009029345372,100,100
433,0.05,34,433,0.013059701492537313,100,100
434,0.05,35,434,0.008676789587852495,100,100
435,0.05,36,435,0.018036072144288578,100,100
436,0.05,37,436,0.018832391713747645,100,100
437,0.05,38,437,0.00390625,100,100
438,0.05,39,438,0.011904761904761904,100,100
439,0.05,40,439,0.0057692307692307696,100,100
440,0.05,41,440,0.00922509225092251,100,100
441,0.05,42,441,0.014861995753715499,100,100
442,0.05,43,442,0.008048289738430584,100,100
443,0.05,44,443,0.016771488469601678,100,100
444,0.05,45,444,0.011560693641618497,100,100
445,0.05,46,445,0.006726457399103139,100,100
446,0.05,47,446,0.00992063492063492,100,100
447,0.05,48,447,0.01642710472279261,100,100
448,0.05,49,448,0.010351966873706004,100,100
449,0.05,50,449,0.013333333333333334,100,100
450,0.05,51,450,0.014613778705636743,100,100
451,0.05,52,451,0.016293279022403257,100,100
452,0.05,53,452,0.006185567010309278,100,100
453,0.05,54,453,0.0019267822736030828,100,100
454,0.05,55,454,0.01859504132231405,100,100
455,0.05,56,455,0.014492753623188406,100,100
456,0.05,57,456,0.007142857142857143,100,100
457,0.05,58,457,0.0081799591002045,100,100
458,0.05,59,458,0.009765625,100,100
459,0.05,60,459,0.011811023622047244,100,100
460,0.05,61,460,0.011009174311926606,100,100
461,0.05,62,461,0.011111111111111112,100,100
462,0.05,63,462,0.010395010395010396,100,100
463,0.05,64,463,0.02032520325203252,100,100
464,0.05,65,464,0.006185567010309278,100,100
